Hidden State,Observed State,Current Lane,Timestamp,Trip ID
Vehicle,Change Lane Left,Left,00:00:00,12
Stoplight,Stop,Left,00:00:00,12
Stoplight,Go,Left,00:00:00,12
Vehicle,Change Lane Right,Middle,00:00:00,12
Vehicle,Change Lane Left,Left,00:00:00,12
Vehicle,Change Lane Right,Middle,00:00:00,12
Vehicle,Change Lane Left,Left,00:00:00,12
Vehicle,Change Lane Right,Middle,00:00:00,12
Vehicle,Change Lane Right,Right,00:00:00,12
Vehicle,Change Lane Left,Middle,00:00:00,12
Vehicle,Change Lane Left,Left,00:00:00,12
Stoplight,Stop,Left,00:00:00,12
Stoplight,Go,Left,00:00:00,12
Stoplight,Stop,Left,00:00:00,12
Stoplight,Go,Left,00:00:00,12
